id;name;brand;regular_price;promo_price;store;city
111013;Рыбные палочки VICI, 500г;Не указан;16399.0;;Лента;Москва
711898;Печень трески Атлантической PREMIUM CLUB натуральная, 115г;Не указан;49099.0;43399.0;Лента;Москва
748387;Морская капуста PAN-ASIAN с ореховым соусом, 250г;Не указан;16699.0;12699.0;Лента;Москва
590980;"Сельдь малосоленая ЛЕНТА FRESH неразделанная, в пряно-солевой заливке, 
весовая";Не указан;17500.0;;Лента;Москва
521434;Шпроты ВКУСНЫЕ КОНСЕРВЫ в масле, 175г;Не указан;23499.0;17199.0;Лента;Москва
716161;Икра сельди ПУТИНА ястычная в пряной заливке, 160г;Не указан;25599.0;;Лента;Москва
354939;Морской коктейль 365 ДНЕЙ в рассоле, 180г;Не указан;22999.0;15499.0;Лента;Москва
529685;Крабовые палочки охлажденные ЛЕНТА (имитация), 500г;Не указан;40199.0;23199.0;Лента;Москва
293428;Салат из морской капусты БАЛТИЙСКИЙ БЕРЕГ Лососевый, 250г;Не указан;20699.0;14399.0;Лента;Москва
227076;Креветки варено-мороженые ЛЕНТА очищенные 200/300, 500г;Не указан;99899.0;83299.0;Лента;Москва
128095;Сельдь VICI К картошке, филе в масле, 240г;Не указан;21099.0;14999.0;Лента;Москва
716678;Скумбрия Дальневосточная ЛЕНТА с добавлением масла, 240г;Не указан;18399.0;14999.0;Лента;Москва
703142;Коктейль из морепродуктов МЕРИДИАН в рассоле, 270г;Не указан;35699.0;23999.0;Лента;Москва
504920;Печень трески ВКУСНЫЕ КОНСЕРВЫ По-мурмански, 185г;Не указан;16099.0;11299.0;Лента;Москва
626065;Кальмар рубленый САНТА БРЕМОР с креветкой, в сливочном соусе, 150г;Не указан;15299.0;10999.0;Лента;Москва
851831;Треска замороженная WISH FISH филе, 500г;Не указан;68399.0;56999.0;Лента;Москва
584893;Салат из морской капусты МЕРИДИАН Дальневосточный, 250г;Не указан;12799.0;9299.0;Лента;Москва
503880;Горбуша-скумбрия ЕВРОПРОМ рубленая, 180г;Не указан;14699.0;;Лента;Москва
509819;Паста КРЕМ-ФИШ Кальмар-креветка, 150г;Не указан;12699.0;;Лента;Москва
722469;Сельдь Тихоокеанская слабосоленая РУССКОЕ МОРЕ Под шубу, филе-кусочки, 400г;Не указан;33299.0;;Лента;Москва
623862;Скумбрия Атлантическая замороженная BOREALIS неразделанная, 1кг;Не указан;70699.0;;Лента;Москва
582441;Лосось PATE LE MARE классический рубленый, 150г;Не указан;14199.0;9999.0;Лента;Москва
765525;Икра горбуши ТРИ КИТА зернистая, 200г;Не указан;208999.0;;Лента;Москва
